topic	definition
V-FAP-GPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-FAP-NPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-FAP-NSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-FDI-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-FDI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-FDI-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-FDI-2P-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p><p>ATTic form</p>
V-FDI-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-FDI-2S-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p><p>ATTic form</p>
V-FDI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-FDI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-FDI-3S-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p><p>ATTic form</p>
V-FDN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> iNfinitive</p>
V-FDP-ASN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-FDP-NPM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Masculine</p>
V-FMI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-FMI-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-FMI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-FMI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-FNI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-FNI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-FOI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-FOI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-FOI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> passive depOnent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-FPI-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-FPI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-FPI-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-FPI-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-FPI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-FPI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-FPP-GPN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Genative (possession, &quot;of&quot;; also origin or separation, &quot;from&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Neuter</p>
V-FPS-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Subjunctive</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-FXI-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-FXI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-FXI-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-FXI-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-FXI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-FXI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-FXN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> iNfinitive</p>
V-FXP-ASN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Neuter</p>
V-FXP-NSM	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Future</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Nominative (subject; predicate nominative)</p><p><b>Number:</b> Singular</p><p><b>Gender:</b> Masculine</p>
V-IAI-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-IAI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-IAI-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-IAI-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-IAI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-IAI-3P-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p><p>ATTic form</p>
V-IAI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-IAI-3S-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p><p>ATTic form</p>
V-IDI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-IEI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> Either middle or passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-IMI-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-IMI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-IMI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-IMI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-INI-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-INI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-INI-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-INI-2P-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p><p>ATTic form</p>
V-INI-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-INI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-INI-3P-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p><p>ATTic form</p>
V-INI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-INI-3S-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> middle or passive depoNent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p><p>ATTic form</p>
V-IPI-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-IPI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-IPI-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-IPI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-IPI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-IQI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> impersonal active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-IXI-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-IXI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-IXI-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-IXI-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-IXI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-IXI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Imperfect</p><p><b>Voice:</b> no voice stated</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-LAI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> pLuperfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-LAI-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> pLuperfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-LAI-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> pLuperfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-LAI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> pLuperfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-LAI-3P-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> pLuperfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p><p>ATTic form</p>
V-LAI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> pLuperfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-LAI-3S-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> pLuperfect</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p><p>ATTic form</p>
V-LDI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> pLuperfect</p><p><b>Voice:</b> middle Deponent</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-LMI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> pLuperfect</p><p><b>Voice:</b> Middle</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-LPI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> pLuperfect</p><p><b>Voice:</b> Passive</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-PAI-1P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [we]</p><p><b>Number:</b> Plural</p>
V-PAI-1S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p>
V-PAI-1S-C	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> first [I]</p><p><b>Number:</b> Singular</p><p>Contracted form</p>
V-PAI-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-PAI-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-PAI-2S-IRR	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p><p>IRRegular or inpure form</p>
V-PAI-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-PAI-3P-ATT	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p><p>ATTic form</p>
V-PAI-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Indicative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-PAM-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-PAM-2S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> second [you]</p><p><b>Number:</b> Singular</p>
V-PAM-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-PAM-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> iMperative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-PAN	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> iNfinitive</p>
V-PAO-2P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Optative</p><p><b>Person:</b> second [you+]</p><p><b>Number:</b> Plural</p>
V-PAO-3P	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Optative</p><p><b>Person:</b> third [they]</p><p><b>Number:</b> Plural</p>
V-PAO-3S	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Optative</p><p><b>Person:</b> third [he/she/it]</p><p><b>Number:</b> Singular</p>
V-PAP-APF	<p><b>Part of Speech:</b> Verb</p><p><b>Tense:</b> Present</p><p><b>Voice:</b> Active</p><p><b>Mood:</b> Participle</p><p><b>Case:</b> Accusative (direct object; motion toward; time: &quot;how long&quot;)</p><p><b>Number:</b> Plural</p><p><b>Gender:</b> Feminine</p>
